9,R/Ohm,0.39051,0.24982,0.12763,0.023119,-0.067768,-0.14894000000000002,-0.21984,-0.28556,-0.34691,-0.40702,-0.4618100000000001,-0.51436,-0.56862,-0.62141,-0.67628,-0.7296,-0.78437,-0.8391,-0.8932399999999999,-0.94745,-1.0004,-1.0509,-1.1006,-1.1481,-1.1957,-1.2408,-1.2851,-1.3305,-1.375,-1.4184,-1.4633,-1.511,-1.5583,-1.6081,-1.6539,-1.7084,-1.7361,-1.8102,-1.8601,-1.8936,-1.9340000000000002,-1.9629,-1.9583,-1.9121,-1.7979,-1.6072,-1.3363,-1.0145,-0.70104,-0.44409,-0.25902,-0.16064,-0.081005,impedance,5.039,5.061,5.085,5.1214,5.1581,5.1976,5.2464,5.2988,5.3572,5.4247,5.4952,5.5725,5.6526,5.7443,5.8397,5.944,6.0558,6.1762,6.3054,6.4427,6.5899,6.7439,6.9058,7.0743,7.2495,7.4303,7.6166,7.8074,8.0046,8.2052,8.4128,8.6301,8.8548,9.0864,9.3243,9.5703,9.8635,10.14,10.446,10.783,11.163,11.578,12.047,12.563,13.108,13.653,14.151,14.533,14.741,14.765999999999998,14.515,14.615,14.773
10,R/Ohm,0.31766,0.19091,0.084605,-0.011071,-0.091197,-0.16439,-0.23038000000000006,-0.29031,-0.34604,-0.40193,-0.45315,-0.50351,-0.5532,-0.60401,-0.65618,-0.70795,-0.75995,-0.81239,-0.86426,-0.91546,-0.96499,-1.0131,-1.0593,-1.104,-1.1486,-1.1909,-1.2329999999999999,-1.2751,-1.3167,-1.3579,-1.4015,-1.4441,-1.4887,-1.5335,-1.58,-1.6280000000000001,-1.6743,-1.7196,-1.764,-1.8071,-1.8352,-1.8543,-1.8437,-1.7841,-1.6624,-1.4681,-1.2055,-0.90933,-0.6353,-0.40841,-0.23272,-0.13832,-0.08409900000000001,impedance,4.8633,4.8862,4.9149,4.9476,4.9823,5.0192,5.0638,5.1114,5.1665,5.2307,5.2947,5.3668,5.4428,5.5276,5.619,5.7218,5.8286,5.9425,6.0661,6.1974,6.3361,6.4822,6.6364,6.7974,6.9638,7.1358,7.3136,7.4972,7.6859,7.8797,8.0792,8.2851,8.4991,8.7201,8.9475,9.1841,9.4482,9.727,10.03,10.366,10.729,11.133,11.584,12.06,12.563,13.047,13.485,13.85,14.132,14.239,14.009,13.776,14.294
11,R/Ohm,0.24741,0.14090999999999998,0.040763,-0.045154,-0.13716,-0.19029,-0.26622,-0.34566,-0.40551,-0.43759,-0.50718,-0.53292,-0.58582,-0.65087,-0.70085,-0.74748,-0.80618,-0.86315,-0.92003,-0.97032,-1.0237,-1.0624,-1.1274,-1.1613,-1.2308,-1.2788,-1.3167,-1.3596,-1.4025,-1.4548,-1.5073,-1.5662,-1.6023,-1.6582,-1.7037,-1.7643,-1.8618,-1.8717,-1.9306,-1.9909999999999999,-2.0333,-2.0747,-2.0805,-2.0314,-1.9189,-1.7181,-1.4292,-1.0769,-0.74431,-0.48821,-0.31458,-0.18348,-0.10885,impedance,5.1408,5.1935,5.1999,5.2609,5.2966,5.3181,5.38,5.4251,5.4786,5.5573,5.6415,5.6951,5.7843,5.8818,5.98,6.0804,6.2036,6.3124,6.4453,6.5844,6.7264,6.8894,7.0538,7.2168,7.4011,7.5788,7.7669,7.9643,8.1611,8.3719,8.575,8.8104,9.0403,9.2761,9.5112,9.7714,9.9894,10.303,10.637,10.975,11.343,11.745,12.189,12.668,13.166,13.647,14.07,14.374,14.56,14.723,15.07,15.268,14.755
12,R/Ohm,0.41071,0.26334,0.14315,0.033222,-0.057743,-0.1396,-0.2126,-0.27794,-0.33914,-0.39814,-0.45234,-0.50375,-0.55672,-0.60287,-0.65649,-0.71165,-0.7638699999999999,-0.81587,-0.86946,-0.92069,-0.97034,-1.0192,-1.0664,-1.1117,-1.1576,-1.2004,-1.2421,-1.2832,-1.3235,-1.3665,-1.4073,-1.4509,-1.4942,-1.5385,-1.5836,-1.6302,-1.6763,-1.7173,-1.7596,-1.7975,-1.8232,-1.8395,-1.8228,-1.757,-1.6308,-1.4364,-1.1777,-0.88965,-0.6229600000000001,-0.3958,-0.22754,-0.14922,-0.073753,impedance,4.946000000000001,4.967,4.996,5.0302,5.0666,5.1065,5.1518,5.2024,5.2587,5.3228,5.3883,5.4594,5.5351,5.6518,5.7410000000000005,5.807,5.9119,6.0249,6.1451,6.2736,6.4103,6.5542,6.7052,6.8636,7.0275,7.1984,7.374,7.5561,7.7427,7.9358,8.1341,8.3386,8.5512,8.7699,8.9946,9.2283,9.4717,9.7427,10.036,10.359000000000002,10.716,11.105,11.54,12.008,12.496,12.972,13.4,13.773,14.084,14.298,13.826,14.172,14.004
13,R/Ohm,0.28024,0.16427999999999998,0.063887,-0.027366,-0.10539,-0.17513,-0.24019,-0.29894,-0.35443,-0.40722,-0.45847,-0.5088600000000001,-0.55903,-0.6093,-0.66163,-0.71437,-0.7664,-0.8194,-0.8731700000000001,-0.92517,-0.97527,-1.0246,-1.0722,-1.1179999999999999,-1.1636,-1.2072,-1.2495,-1.2916,-1.3332,-1.3755,-1.4174,-1.4639,-1.5093,-1.5539,-1.6007,-1.6505,-1.7038,-1.7481,-1.7967,-1.8426,-1.8756,-1.9038,-1.8980000000000001,-1.845,-1.7302,-1.5428,-1.2802,-0.97307,-0.67772,-0.4294600000000001,-0.2468,-0.15092,-0.079016,impedance,4.9154,4.9382,4.9641,5.0019,5.0335,5.0742,5.1206,5.1697,5.2255,5.2931,5.3583,5.4308,5.5064,5.5906,5.6826,5.7849,5.8927,6.0087,6.1332,6.2661,6.4081,6.5568,6.7129,6.8769,7.0461,7.2223,7.4042,7.5917,7.7852,7.9826,8.1876,8.3992,8.6177,8.8422,9.0768,9.3151,9.5839,9.8675,10.176,10.513,10.886,11.296,11.749,12.242,12.762,13.278,13.751,14.144,14.398,14.447,14.181,14.175999999999998,14.493
14,R/Ohm,0.25946,0.13990999999999998,0.043754,-0.045293,-0.11952,-0.19493,-0.2548,-0.31322,-0.36709,-0.42548,-0.47945,-0.5350600000000001,-0.57765,-0.63339,-0.6814100000000001,-0.73183,-0.78271,-0.83641,-0.89512,-0.94669,-0.99679,-1.0443,-1.0987,-1.1574,-1.1992,-1.2449,-1.2877,-1.3357,-1.3813,-1.4252,-1.4769999999999999,-1.5197,-1.5745,-1.6246,-1.6868,-1.7289,-1.85,-1.8616,-1.9083,-1.982,-2.0299,-2.0851,-2.1099,-2.0841,-1.9962,-1.8164,-1.5317,-1.1622,-0.79448,-0.50063,-0.30771,-0.19779,-0.10058,impedance,5.0019,5.0135,5.0515,5.079,5.1165,5.1627,5.2103,5.2716,5.3223,5.3862,5.4602,5.5409,5.6201,5.7133,5.8035,5.9099,6.0213,6.1389,6.2679,6.4064,6.5552,6.7016,6.8808,7.0617,7.2329,7.4032,7.6001,7.7929,7.9864,8.2007,8.4218,8.6274,8.8572,9.0924,9.3374,9.5904,9.9143,10.135,10.483,10.833,11.223,11.649,12.132,12.665,13.228,13.784,14.262,14.579,14.675,14.624,14.68,15.124,14.689
15,R/Ohm,0.34532,0.21279,0.10228,0.0019254,-0.082847,-0.15753,-0.22493,-0.28901,-0.34544,-0.40288,-0.45451,-0.50479,-0.5545899999999999,-0.60478,-0.65605,-0.7069,-0.75767,-0.80884,-0.8581799999999999,-0.90824,-0.95661,-1.0026,-1.0483,-1.0926,-1.1346,-1.1751,-1.2156,-1.2566,-1.2951,-1.3338,-1.3732,-1.4114,-1.4469,-1.4851,-1.5191,-1.5538,-1.5813,-1.6039,-1.6223,-1.6280000000000001,-1.6167,-1.5843,-1.5174,-1.4043,-1.242,-1.0415,-0.81442,-0.59149,-0.39372,-0.24295,-0.1365,-0.08609,-0.041148,impedance,4.8226,4.846,4.8744,4.9108,4.9457,4.9862,5.0349,5.0839,5.1404,5.2066,5.2738,5.3483,5.4261,5.5122,5.6057,5.7095,5.8179,5.9342,6.0591,6.1914,6.3311,6.4783,6.6321,6.7924,6.959,7.1306,7.3072,7.4886,7.6770000000000005,7.8717,8.0721,8.2782,8.4893,8.7088,8.9369,9.1718,9.4248,9.6987,9.9894,10.308,10.656,11.023,11.411,11.802,12.186,12.547,12.857,13.106,13.223,13.163,12.841,12.873,13.227
16,R/Ohm,0.33404,0.1968,0.097727,0.0016394000000000005,-0.095419,-0.18087,-0.24369,-0.30138000000000004,-0.36039,-0.41519,-0.47115,-0.5192399999999999,-0.56899,-0.62148,-0.67,-0.72609,-0.77946,-0.82699,-0.87502,-0.92647,-0.97782,-1.0126,-1.0728,-1.1006,-1.1628,-1.1948,-1.2351,-1.2814,-1.3218,-1.3555,-1.3877,-1.4312,-1.465,-1.5009,-1.5327,-1.5668,-1.5882,-1.6029,-1.6171,-1.6115,-1.5858,-1.5386,-1.4521,-1.3214,-1.1447,-0.93488,-0.70654,-0.49133,-0.31855,-0.20088,-0.12857000000000002,-0.07787100000000001,-0.046139,impedance,4.8662,4.897,4.9165,4.9627,5.0007,5.0423,5.0897,5.1438,5.1974,5.2523,5.3378,5.4209,5.4947,5.5767,5.6778,5.7911,5.8949,6.0183,6.1443,6.2858,6.4281,6.5717,6.7485,6.9165,7.0881,7.2626,7.4387,7.6244,7.8214,8.0158,8.2183,8.4269,8.6415,8.865,9.0896,9.327,9.5873,9.8364,10.115,10.41,10.726,11.048,11.369000000000002,11.683,11.972,12.202,12.334,12.394,12.365,12.403,12.602,12.86,12.439
17,R/Ohm,0.3107,0.1821,0.081761,-0.016636,-0.097355,-0.16999,-0.23711,-0.29736,-0.35412,-0.40952,-0.4616,-0.51239,-0.56214,-0.61227,-0.66445,-0.7158100000000001,-0.76783,-0.8199799999999999,-0.87351,-0.92478,-0.97474,-1.0235,-1.0707,-1.1164,-1.1621,-1.2053,-1.2472,-1.2879,-1.3294,-1.3716,-1.415,-1.4585,-1.5038,-1.5497,-1.5959,-1.6444,-1.6919,-1.7372,-1.7833,-1.8277,-1.8607,-1.8859,-1.8802,-1.8238,-1.7108,-1.52,-1.2578,-0.95429,-0.6753899999999999,-0.44645,-0.2636,-0.14578,-0.099086,impedance,4.9721,4.9932,5.0199,5.0522,5.0838,5.1225,5.1654,5.2139,5.2691,5.3317,5.396,5.466,5.5393,5.6225,5.7113,5.8104,5.9147,6.0265,6.1471,6.2763,6.4137,6.5591,6.7114,6.8706,7.0357,7.2066,7.3829,7.5644,7.7522,7.9455,8.1452,8.3505,8.5633,8.7829,9.0086,9.243,9.4894,9.7609,10.058,10.386,10.751,11.151,11.597,12.083,12.602,13.11,13.566,13.96,14.297,14.561,14.505999999999998,14.12,14.535
18,R/Ohm,0.34624,0.21189,0.10385,0.0029062,-0.081731,-0.15862,-0.23188000000000006,-0.28203,-0.34704,-0.40171,-0.46462,-0.49892,-0.5574,-0.6151800000000001,-0.6622600000000001,-0.70611,-0.75695,-0.81061,-0.8516600000000001,-0.8996700000000001,-0.9440000000000001,-0.99903,-1.036,-1.0751,-1.1207,-1.1599,-1.1909,-1.2255,-1.2551,-1.2923,-1.3283,-1.3475,-1.3777,-1.4033,-1.415,-1.4293,-1.4413,-1.4253,-1.4028,-1.3651,-1.2996,-1.2152,-1.0965,-0.94571,-0.78059,-0.6070800000000001,-0.44237,-0.29576,-0.1857,-0.11357,-0.070437,-0.048151,-0.024809,impedance,4.7447,4.7669999999999995,4.7883,4.831,4.8666,4.9136,4.9707,5.0186,5.0747,5.153,5.2193,5.2968,5.3695,5.4661,5.5629,5.6737,5.7844,5.8977,6.0249,6.1552,6.296,6.4342,6.6032,6.7781,6.9255,7.0975,7.275,7.4605,7.6513,7.8414,8.0444,8.2435,8.4546,8.674,8.892999999999999,9.1128,9.3735,9.6231,9.8953,10.176,10.462,10.745,11.02,11.258,11.475,11.612,11.687,11.674,11.548,11.423,11.432,11.785,11.515999999999998
19,R/Ohm,0.34948,0.25055,0.11034,0.007634899999999998,-0.055793,-0.14425,-0.21469,-0.27551,-0.33522,-0.37586,-0.42754,-0.47482,-0.52081,-0.56986,-0.62455,-0.65763,-0.69938,-0.74253,-0.78767,-0.8278200000000001,-0.8674299999999999,-0.91317,-0.93853,-0.98534,-0.99769,-1.0267,-1.0659,-1.0858,-1.1163,-1.1333,-1.1509,-1.1657,-1.1793,-1.1815,-1.1723,-1.1643,-1.1272,-1.0878,-1.0396,-0.96363,-0.86608,-0.76066,-0.63948,-0.50957,-0.38927,-0.28532,-0.19972,-0.13015,-0.083942,-0.054819000000000014,-0.03595,-0.014288999999999996,-0.017246,impedance,4.3548,4.364,4.3992,4.4372,4.4719999999999995,4.5025,4.5651,4.6049,4.6362,4.7114,4.7789,4.8523,4.9433,5.0048,5.0991,5.1849,5.2985,5.4034,5.5168,5.6387,5.7741,5.8959,6.0446,6.2022,6.3359,6.4865,6.6441,6.8147,6.9738,7.1467,7.312,7.4867,7.6857,7.8685,8.0536,8.2437,8.3963,8.62,8.8053,8.9853,9.1552,9.2977,9.4153,9.5021,9.5556,9.575,9.5651,9.5447,9.5503,9.607000000000001,9.7927,9.8004,9.5438
20,R/Ohm,0.42402,0.2491,0.14478,0.036156,-0.042955,-0.13094,-0.20301,-0.26911,-0.32702,-0.37041,-0.42963,-0.47307,-0.516,-0.56831,-0.61416,-0.64759,-0.69886,-0.74841,-0.78642,-0.83162,-0.8718600000000001,-0.91351,-0.9503,-0.99635,-1.0163,-1.0506,-1.0783,-1.1109,-1.1448,-1.1671,-1.1869,-1.2069,-1.2275,-1.2523,-1.2601,-1.2557,-1.2125,-1.2291,-1.1916,-1.1364,-1.0588,-0.96497,-0.8453799999999999,-0.70741,-0.562,-0.42531,-0.30255,-0.51265,-0.12609,-0.080759,-0.055214,-0.029113,-0.025371,impedance,4.3483,4.3839999999999995,4.3966,4.4201,4.4664,4.4996,4.5473,4.5864,4.6468,4.7023,4.7698,4.8452,4.9159,5.0016,5.0832,5.1772,5.2808,5.3837,5.507999999999999,5.6326,5.7622,5.8919,6.0454,6.192,6.3398,6.5078,6.6635,6.8358,7.0081,7.1776,7.3627,7.5311,7.7278,7.9188,8.1211,8.3119,8.5297,8.7433,8.9476,9.1677,9.3821,9.5835,9.7612,9.9085,10.012,10.07,10.08,9.9481,10.021,10.041,10.232,10.39,10.151
21,R/Ohm,0.26963000000000004,0.13953,0.053914,-0.038877,-0.11402,-0.18534,-0.24945,-0.31764000000000003,-0.37497,-0.4265600000000001,-0.47688,-0.5323100000000001,-0.56945,-0.62943,-0.68062,-0.73285,-0.77989,-0.8271200000000001,-0.88281,-0.93044,-0.97991,-1.0175,-1.0737,-1.1109,-1.1585,-1.202,-1.2419,-1.2819,-1.3235,-1.3582,-1.3972,-1.4341,-1.4721,-1.5085,-1.5427,-1.5795,-1.604,-1.625,-1.641,-1.6448,-1.6292,-1.5933,-1.5183,-1.3968,-1.2248,-1.0148,-0.78288,-0.55486,-0.37041,-0.24286,-0.15137,-0.079303,-0.060248,impedance,4.966,4.9963,5.0257,5.0569,5.0799,5.131,5.1836,5.2334,5.2806,5.3311,5.4174,5.4884,5.5698,5.66,5.7401,5.8431,5.9551,6.0711,6.1943,6.3213,6.4591,6.5948,6.7671,6.9393,7.0971,7.2615,7.4412,7.6266,7.8131,8.005,8.2018,8.4071,8.618,8.836,9.061,9.2919,9.5296,9.7853,10.063,10.367,10.692,11.031,11.387,11.741,12.081,12.369000000000002,12.598,12.731,12.873,13.046,13.227,12.849,13.027
22,R/Ohm,0.31609,0.1877,0.08539400000000001,-0.011782,-0.092441,-0.17217000000000002,-0.22888000000000006,-0.29489,-0.35008,-0.40793,-0.4652600000000001,-0.51467,-0.56101,-0.61292,-0.66092,-0.70631,-0.7609999999999999,-0.8127800000000001,-0.8589600000000001,-0.90668,-0.95352,-1.0049,-1.0419,-1.0736,-1.1213,-1.1609,-1.2038,-1.2362,-1.2724,-1.308,-1.3337,-1.3713,-1.3964,-1.4266,-1.4459,-1.4645,-1.4641,-1.475,-1.4597,-1.4283,-1.3684,-1.2889,-1.1727,-1.0214,-0.8465600000000001,-0.66323,-0.48486,-0.32754,-0.20961,-0.12652,-0.081105,-0.051239,-0.023127,impedance,4.7507,4.7775,4.8056,4.8443,4.8809,4.9319999999999995,4.9769,5.0307,5.09,5.157,5.223,5.3022,5.3819,5.4729,5.569,5.6749,5.7861,5.901,6.0263,6.1624,6.3087,6.4342,6.6076,6.7757,6.95,7.1208,7.3058,7.489,7.6825,7.875,8.0726,8.2826,8.4912,8.7107,8.935,9.1657,9.4156,9.6911,9.9696,10.262,10.563,10.867,11.159,11.434,11.666,11.826,11.905,11.925,11.861,11.748,11.742,12.09,11.720999999999998
